x,y,z
-32.498655849402866,5.730389863008699,0.0
-32.617065114695784,5.011963400605905,0.042027802042448284
-32.7193757216927,4.291073062920042,0.08405444415148978
-32.8055361308894,3.568084314696691,0.12607876642573096
-32.87550320538518,2.843363702445255,0.1680996090278038
-32.92924223361341,2.117278658807025,0.21011581221637649
-32.966726947459804,1.3901973064457414,0.25212621637816124
-32.9879395357584,0.6624882615724362,0.29412966205991875
-32.99287065315798,-0.06547956278695946,0.3361249900004581
-32.98151942435446,-0.7933371536688705,0.3781110411626315
-32.953893443687036,-1.5207155950856481,0.4200866567653228
-32.91000877009909,-2.2472462648628766,0.4620506783154288
-32.84988991746708,-2.9725610312919244,0.5040019476398329
-32.77356984030356,-3.696292449485446,0.5459393069173694
-32.68108991484299,-4.418073957327508,0.5878615987107753
-32.57249991552182,-5.137540070906746,0.6297676659986488
-32.44785798686676,-5.854326579324163,0.6716563522073602
-32.307230610808055,-6.568070738765703,0.7135265012429877
-32.1506925694369,-7.278411465730976,0.7553769575232201
-31.97832690322905,-7.984989529310023,0.7972065660092506
-31.79022486475915,-8.687447742399971,0.8390141722376544
-31.5864858679328,-9.385431151755123,0.8807986223522516
-31.36721743276623,-10.078587226763494,0.922558763135952
-31.13253512574554,-10.766566046844982,0.9642934420425836
-30.88256249580071,-11.449020487365177,1.0060015072287014
-30.617431005931188,-12.12560640396253,1.047681807585378
-30.337279960523368,-12.79598281518419,1.0893331927699723
-30.042256428401664,-13.459812083330311,1.1309545132378789
-29.73251516165846,-14.116760093404254,1.1725446202742547
-29.40821851030941,-14.76649643007065,1.2141023660257213
-29.069536332824324,-15.408694552521046,1.2556266035320462
-28.716645902584652,-16.043031967151556,1.2971161867577974
-28.349731810322563,-16.66919039795492,1.338569970623973
-27.9689858625975,-17.28685595453345,1.3799868110396043
-27.574606976369115,-17.895719297639225,1.421365564933332
-27.166801069727757,-18.49547580214934,1.4627050902849548
-26.74578094884511,-19.08582571738705,1.5040042461569465
-26.31176619121094,-19.666474324698633,1.545261892725943
